net,length_um
net1,562.19
_176_,548.98
net14,540.46
_183_,526
_241_,513.16
net7,493
net2,492.02
_019_,485.615
_197_,476.22
_193_,468.085
_200_,466.84
_218_,463.32
_195_,460.2
_217_,453.615
_182_,450.82
_238_,450.51
net19,435.9
net18,420.44
net15,418.88
_198_,410.945
net12,410.36
_203_,400.5
net4,389.58
net9,380.79
net3,370.135
_180_,370.06
_189_,360.055
net17,359
_035_,352.6
net8,342.87
_052_,342.68
net16,335.26
_190_,328.46
net62,315.49
net11,310.4
_245_,301.9
_194_,294.49
_107_,293.14
_062_,291.72
net10,289.72
net6,289.22
net26,288.66
net50,286.02
_034_,283.28
_021_,283.18
_110_,279.78
net59,278.92
_054_,274.37
_032_,271.8
_148_,268.48
_126_,266.38
_119_,266.15
_024_,263.26
_196_,259.88
_105_,257.96
_073_,257.24
_037_,256.98
_169_,256.83
_179_,255.685
_038_,254.78
_109_,254
_002_,253.96
net13,253.65
_227_,252.48
_090_,251.81
_020_,250.71
_233_,249.94
_158_,246.02
_099_,243.7
_224_,240.24
_174_,233.48
_027_,233.38
_149_,233.28
_135_,232.36
_049_,232.33
_234_,232.22
_152_,231.46
_074_,231.16
_181_,230.96
_100_,227.02
_013_,226.75
_095_,222.08
_207_,221.52
_229_,219.01
_153_,218.92
_092_,218.18
_053_,217.84
_185_,217.22
_244_,214.99
_223_,214.35
_015_,214.14
_068_,214.03
_144_,213.58
_127_,212.72
_055_,212.14
net27,211.95
_172_,211.57
_112_,211.42
_103_,211.32
_072_,206.36
_147_,206.36
_008_,206.14
_206_,206.06
_009_,205.88
_212_,204.82
net23,203.06
_240_,199.74
_136_,198.16
_010_,197.72
_165_,193.75
net5,192.9
_123_,191.96
_064_,191.36
_030_,191
_161_,190.64
_101_,190.22
net25,190.18
_202_,189.6
_246_,186.94
_067_,186.54
_168_,186.395
_075_,186.32
_205_,185.98
_230_,185.3
_247_,184.88
_173_,183.98
_232_,183.06
_192_,182.92
_063_,180.96
_041_,179.76
_184_,178.44
_243_,178.26
net29,175.74
_132_,174.34
_187_,171.1
_000_,171.08
_022_,169.98
_208_,169.8
_004_,169.36
_084_,169.16
_111_,168.61
_228_,167.88
_211_,167.24
_081_,166.34
_044_,166.13
_199_,166.1
_045_,165.32
_042_,164.9
_130_,164.62
_026_,163.56
_122_,162.7
_065_,161.22
_088_,159
_128_,158.9
_166_,158.88
_029_,157.98
_167_,157.44
_231_,156.66
_171_,156.46
_039_,155.48
_016_,155.46
_151_,154.28
_236_,153.74
_094_,153.14
_031_,152.38
_140_,152.3
_124_,152.22
_163_,151.84
_006_,150.5
_089_,149.96
_025_,149.2
_061_,149.1
_143_,149.08
_085_,147.72
_215_,146.46
_186_,145.54
_070_,144.34
_117_,144.14
_003_,143.34
_121_,141.6
_051_,140.68
_216_,140.22
_201_,139.1
net21,138.5
_060_,133.56
_133_,131.76
_157_,131.72
_005_,131.55
_102_,130.84
net48,129.99
_028_,129.98
_145_,129.32
net30,129.25
_125_,126.64
_017_,125.86
_108_,125.68
_209_,125.64
_131_,121.58
_226_,121.32
_048_,119.5
_235_,119.16
net42,117.36
_120_,117.18
_087_,116.56
net43,116.22
net44,115.02
_114_,114.66
_093_,112.095
_036_,110.86
_142_,110.12
net28,109.715
_023_,109.4
_204_,109.24
_066_,109.08
_221_,108.485
_011_,107.14
net32,106.12
net60,105.58
_214_,104.58
_082_,104.46
_098_,104.08
net22,103.86
_106_,103.38
_137_,99.76
_057_,99.4
_213_,98.58
_014_,98.285
_162_,96.92
_239_,96.54
_160_,96.52
_069_,95.48
_178_,95.22
_219_,93.74
_050_,93.68
net40,92.9
net36,92.56
_138_,92.12
_156_,91.64
_077_,89.32
_046_,89.1
_001_,87.24
_047_,87.14
net61,84.9
net24,84.6
_040_,84.24
_222_,84.1
_154_,83.18
_150_,82.52
_058_,81.52
_116_,80.42
_097_,79.48
net52,78.42
_177_,78.4
_012_,78.38
_210_,78.36
_059_,77.62
_220_,77.56
_118_,75.32
_076_,74.68
_141_,71.78
net47,69.68
net56,68.72
_134_,67.96
_096_,67.24
_043_,66.66
_056_,65.44
_225_,65.26
_146_,61.74
_129_,61.62
_170_,60.76
_113_,60.685
_071_,60.02
net41,59.78
net38,59.08
net57,57.26
_155_,57.04
net35,56.1
_091_,53.44
net46,53.34
net54,52.7
_164_,50.8
_083_,48.78
_188_,48.76
net34,46.88
_078_,45.04
_237_,44.02
_191_,42.46
net53,41.94
_079_,41.44
_159_,40.65
_018_,36.28
net51,36.22
_080_,35.72
_139_,32.94
net20,29.24
_007_,27.54
_115_,27.44
_033_,25.82
net39,23
_104_,22.98
net33,22
_086_,18.56
_175_,15.68
net58,14.22
net49,12.92
B[3],12.8
opcode[1],11.48
B[6],10.88
B[7],10.88
net45,10.62
B[0],10.42
B[1],10.42
B[2],10.42
B[4],10.42
B[5],10.42
_242_,10.24
net37,9.96
net31,9.54
opcode[0],8.72
opcode[2],8.38
out[7],5.53
A[3],5.41
A[0],5.07
A[2],5.07
out[0],5.07
out[5],5.07
A[1],4.95
A[5],4.95
A[7],4.95
net55,4.8
out[6],4.73
A[4],4.61
A[6],4.61
out[1],4.39
out[2],4.39
out[3],4.39
out[4],4.39
